incident_id,channel,segment,start_time,end_time,duration_sec,n_events,peak_anomaly_score,mean_anomaly_score,spacecraft_incident_id
CADC0872_1_002,CADC0872,1,2022-06-01T23:42:54.000000Z,2022-06-01T23:47:33.000000Z,279.0,280,1.0,0.47852019078232766,593
CADC0872_2_002,CADC0872,2,2022-06-01T23:47:35.000000Z,2022-06-01T23:55:31.000000Z,476.0,477,1.0,0.5063260332325114,597
CADC0872_3_002,CADC0872,3,2022-06-01T23:55:35.000000Z,2022-06-02T00:05:28.000000Z,593.0,594,1.0,0.4973979446265105,602
CADC0872_4_002,CADC0872,4,2022-06-02T00:05:30.000000Z,2022-06-02T00:10:01.000000Z,271.0,272,1.0,0.5252594524330896,609
CADC0872_5_002,CADC0872,5,2022-06-02T00:10:04.000000Z,2022-06-02T00:14:18.000000Z,254.0,196,0.6930492690201387,0.40157793402333136,613
CADC0872_6_002,CADC0872,6,2022-06-02T00:14:19.000000Z,2022-06-02T00:18:31.000000Z,252.0,158,0.3926474241477191,0.3894519050793378,615
CADC0872_7_002,CADC0872,7,2022-06-02T00:18:33.000000Z,2022-06-02T00:24:51.000000Z,378.0,329,0.9292561655718627,0.44451409391686475,618
CADC0872_8_002,CADC0872,8,2022-06-02T00:24:54.000000Z,2022-06-02T00:31:33.000000Z,399.0,400,1.0,0.5189817512023575,622
CADC0872_9_002,CADC0872,9,2022-06-02T00:35:38.000000Z,2022-06-02T00:44:11.000000Z,513.0,514,1.0,0.5330107949891741,627
CADC0872_10_002,CADC0872,10,2022-06-02T00:44:14.000000Z,2022-06-02T00:49:26.000000Z,312.0,194,0.3963430763216321,0.39046743300594483,633
CADC0872_11_002,CADC0872,11,2022-06-02T00:49:30.000000Z,2022-06-02T00:53:18.000000Z,228.0,170,0.4026349103243095,0.3908801170216699,637
CADC0872_12_002,CADC0872,12,2022-06-02T00:53:20.000000Z,2022-06-02T00:57:17.000000Z,237.0,215,0.5390003078259377,0.3905085359167734,640
CADC0872_13_002,CADC0872,13,2022-06-02T00:57:19.000000Z,2022-06-02T01:01:07.000000Z,228.0,212,0.99,0.41495518393567105,642
CADC0872_14_002,CADC0872,14,2022-06-02T01:01:09.000000Z,2022-06-02T01:04:49.000000Z,220.0,216,0.3982778635536078,0.3864063072568547,644
CADC0872_15_002,CADC0872,15,2022-06-02T01:04:50.000000Z,2022-06-02T01:08:10.000000Z,200.0,201,1.0,0.42816618606514373,647
CADC0872_16_002,CADC0872,16,2022-06-02T01:08:12.000000Z,2022-06-02T01:12:20.000000Z,248.0,234,0.3982778635536078,0.39045178180093243,650
CADC0872_17_002,CADC0872,17,2022-06-02T01:12:22.000000Z,2022-06-02T01:16:19.000000Z,237.0,229,0.4003310467602003,0.38945010852400347,654
CADC0872_18_002,CADC0872,18,2022-06-02T01:16:20.000000Z,2022-06-02T01:19:53.000000Z,213.0,208,0.4792864682008865,0.3908988662931278,657
CADC0872_19_002,CADC0872,19,2022-06-02T01:19:54.000000Z,2022-06-02T01:23:16.000000Z,202.0,203,0.93,0.40971875064254504,659
