spacecraft_incident_id,start_time,end_time,duration_sec,channels_affected,n_channels_affected,n_events_total,peak_anomaly_score,mean_anomaly_score,segments_affected
1,2022-01-04T20:04:20.000000Z,2022-01-04T20:05:00.000000Z,40.0,CADC0872,1,3,0.64,0.5360611085443948,1820
3,2022-01-04T20:08:15.000000Z,2022-01-04T20:09:10.000000Z,55.0,CADC0872,1,3,0.59594203021055,0.4291998556890342,1823
6,2022-01-04T20:14:20.000000Z,2022-01-04T20:15:10.000000Z,50.0,CADC0872,1,3,0.46,0.3723212792298553,1827
7,2022-01-04T20:19:25.000000Z,2022-01-04T20:20:00.000000Z,35.0,CADC0872,1,3,0.6600871348696716,0.44907695762686006,1830
8,2022-01-04T20:30:30.000000Z,2022-01-04T20:30:50.000000Z,20.0,CADC0886,1,3,0.66,0.53,813
11,2022-01-04T20:37:05.000000Z,2022-01-04T20:37:50.000000Z,45.0,CADC0872,1,2,0.3075494449959245,0.3069216088125274,1842
16,2022-01-04T20:53:55.000000Z,2022-01-04T20:54:55.000000Z,60.0,CADC0872,1,3,0.4999338993706851,0.42887346094873074,1853
18,2022-01-04T21:00:55.000000Z,2022-01-04T21:01:00.000000Z,5.0,CADC0886,1,2,0.74,0.665,814
19,2022-01-04T21:02:05.000000Z,2022-01-04T21:02:10.000000Z,5.0,CADC0886,1,2,0.4,0.39,814
20,2022-01-04T21:04:50.000000Z,2022-01-04T21:05:20.000000Z,30.0,CADC0872|CADC0886,2,2,0.3625176989641784,0.3512588494820892,815|1860
28,2022-01-04T21:33:45.000000Z,2022-01-04T21:34:40.000000Z,55.0,CADC0872,1,2,0.3891843656308451,0.36955366374852244,1879
36,2022-01-04T22:13:45.000000Z,2022-01-04T22:14:20.000000Z,35.0,CADC0872,1,3,0.5100892857142857,0.4684213963556458,1904
38,2022-01-04T22:17:25.000000Z,2022-01-04T22:17:30.000000Z,5.0,CADC0872,1,2,0.4346063879499525,0.37192976730091676,1906
39,2022-01-04T22:28:50.000000Z,2022-01-04T22:29:35.000000Z,45.0,CADC0872,1,3,0.4865388631709708,0.3713536423112193,1913
42,2022-01-04T22:32:55.000000Z,2022-01-04T22:33:50.000000Z,55.0,CADC0872,1,2,0.3198650953506709,0.3110816056512925,1916
43,2022-01-04T22:34:40.000000Z,2022-01-04T22:35:00.000000Z,20.0,CADC0872,1,2,0.6805492690201388,0.49527463451006937,1917
